업소명,소재지,위도,경도
금복용호통닭,"부산광역시 중구 중구로33번길 32, 부평공영주차장 1층 (부평동2가)",35.10110274,129.0261887
소풍경 중구점,"부산광역시 중구 비프광장로 21-1, (부평동1가)",35.09882846,129.0275751
1GA-24-12,"부산광역시 중구 중앙대로41번길 9-1, (중앙동1가)",35.10106158,129.035259
닭썸,"부산광역시 중구 중구로29번길 36, 1층 (부평동2가)",35.10057273,129.0259737
고집파닭,"부산광역시 중구 비프광장로 33-2, (남포동3가)",35.09906101,129.0288503
오복통닭,"부산광역시 중구 부평1길 59, 1층 (부평동2가)",35.10218766,129.0258075
닭다리먹고 맴맴,"부산광역시 중구 광복로12번길 5, 1층 (부평동1가, 외 1필지)",35.09902759,129.026415
훈춘,"부산광역시 중구 흑교로59번길 15-1, 1층 (보수동3가)",35.1038768,129.023262
미스터치킨맨,"부산광역시 중구 망양로 277, 지하층 (보수동1가)",35.10720432,129.0262982
지코바숯불치킨,"부산광역시 중구 중구로 148, 1층 (동광동5가)",35.10828272,129.035153
네네치킨,"부산광역시 중구 대청로25번길 4, 1층 (보수동3가)",35.1035105,129.0228735
아닥치킨,"부산광역시 중구 대청로 21, 1층 (보수동3가)",35.10339053,129.0221371
꾸지뽕 삼계탕,"부산광역시 중구 남포길 28, 2층 (남포동2가, 외 3필지)",35.09850413,129.0317936
영주대청점굽네치킨,"부산광역시 중구 동영로 24, (영주동)",35.10907379,129.0343512
미정통닭·강정,"부산광역시 중구 흑교로 88-1, (보수동1가)",35.10373047,129.0245764
교촌치킨 영주대청점,"부산광역시 중구 중구로 70-1, 2층 (대청동4가, 부성빌딩)",35.10372885,129.0290187
쏙닭쏙닭,"부산광역시 중구 동광길 77, 1층 (동광동5가)",35.10620296,129.0348634
미진축산,"부산광역시 중구 보수대로44번길 6-2, 1층 (부평동3가)",35.10098723,129.023862
브이통닭,"부산광역시 중구 부평1길 56, 1층 (부평동2가)",35.10196976,129.0259912
국제통닭,"부산광역시 중구 중구로47번길 33-1, (부평동2가)",35.10217669,129.0260377
시장분식,"부산광역시 중구 부평1길 58, 1층 (부평동2가)",35.10205088,129.0259922
닭굽는 마을,"부산광역시 서구 천해로 10, (남부민동)",35.08322696,129.0177511
신김해통닭,"부산광역시 서구 구덕로214번길 10, (부민동1가)",35.10368224,129.020682
뉴거인통닭,"부산광역시 서구 구덕로193번길 25, (아미동2가)",35.10198831,129.0184562
치치,"부산광역시 서구 구덕로296번길 31, 삼익아파트A상가 111~112호 (동대신동2가)",35.11267776,129.0186003
처갓집통닭,"부산광역시 서구 천마로 192, 307호 (남부민동, 홍아맨션)",35.09268046,129.0222994
처갓집양념치킨(송도점),"부산광역시 서구 충무대로 34, 2층 2-2호 (암남동, 송남상가아파트)",35.07848441,129.0168149
바보면가,"부산광역시 서구 보수대로242번길 2-1, (동대신동3가)",35.11601777,129.0180276
만월집0501,"부산광역시 서구 구덕로296번길 40-1, (동대신동2가)",35.11112617,129.0198096
남다른썬치킨 충무점,"부산광역시 서구 충무대로 277, 103호 (충무동1가, 충무 에코펠리스2차)",35.09540627,129.0240115
동키치킨,"부산광역시 서구 보수대로 248-1, (동대신동3가)",35.11628247,129.017636
네네치킨 부민충무점,"부산광역시 서구 구덕로124번길 40, 1층 (토성동1가)",35.0984811,129.0228216
지코바숯불치킨,"부산광역시 서구 천마로 230-2, (충무동2가)",35.09605815,129.0226048
치킨신드롬,"부산광역시 서구 천마로 93, (남부민동)",35.08472184,129.0211362
맘스터치 서대신점,"부산광역시 서구 구덕로321번길 10, (서대신동3가)",35.11241964,129.0160631
일삼오칠구,"부산광역시 서구 천마로 220, (충무동2가)",35.09508622,129.0224172
유림찜닭&수유리혼밥왕,"부산광역시 서구 구덕로193번길 12-17, (부민동2가)",35.10245137,129.019131
칠칠켄터키,"부산광역시 서구 송도해변로 131, (암남동)",35.07795187,129.0211833
대신점굽네치킨,"부산광역시 서구 구덕로345번길 13, (서대신동3가)",35.11412487,129.0148008
호식이두마리치킨대신점,"부산광역시 서구 보수대로 173, (동대신동1가)",35.11085734,129.0217588
티바두마리치킨,"부산광역시 서구 보수대로188번길 20, (동대신동2가)",35.11232074,129.0224572
남다른 썬치킨,"부산광역시 서구 대영로45번길 43, (서대신동2가)",35.11142527,129.0153267
본스치킨＆명품명가안동찜닭,"부산광역시 서구 망양로33번길 21, (서대신동3가)",35.11374612,129.0126679
맥시칸치킨,"부산광역시 서구 보수대로 241-1, 2층 (동대신동3가)",35.11552749,129.0173743
노랑통닭(대신점),"부산광역시 서구 대영로 70-1, (동대신동1가)",35.11028596,129.0189654
네네치킨대신점,"부산광역시 서구 망양로 28, 2층 (서대신동3가)",35.11298057,129.0136676
용하 옛날통닭,"부산광역시 서구 충무대로267번길 15, 1층 (충무동3가)",35.09450336,129.0231228
땅땅치킨 부산역점,"부산광역시 동구 중앙대로209번길 6, (초량동)",35.11611407,129.0395744
태화통닭,"부산광역시 동구 정공단로 49, (범일동)",35.13664249,129.0558234
치킨스트롬,"부산광역시 동구 고관로 27, (초량동,,34, 44)",35.12788176,129.0463841
맥시칸치킨,"부산광역시 동구 성북로 59-1, (범일동)",35.13842958,129.0482969
푸드 메이커,"부산광역시 동구 초량로13번길 68, (초량동)",35.11619361,129.0387088
제임스통닭,"부산광역시 동구 수정공원남로 32, (수정동)",35.12721232,129.0382893
멕켄치킨,"부산광역시 동구 조방로49번길 18-1, (범일동)",35.13916658,129.0599271
패스에이지(PASSAGE),"부산광역시 동구 대영로243번길 87, (초량동)",35.11581008,129.0392853
굽네치킨,"부산광역시 동구 홍곡로 74, (수정동)",35.12536261,129.0426983
멕시칸치킨,"부산광역시 동구 성남이로37번길 24, (좌천동)",35.13294928,129.0555342
썬더치킨,"부산광역시 동구 범곡북로 3, (범일동)",35.14166681,129.0554165
닭선보는날,"부산광역시 동구 망양로 877, (범일동)",35.13888289,129.0479954
옛날통닭,"부산광역시 동구 중앙대로371번길 40, (수정동)",35.12981604,129.0468148
노랑통닭(동삼점),"부산광역시 영도구 동삼로 37, (동삼동)",35.07682725,129.0710271
드루와,"부산광역시 영도구 태종로 768, (동삼동)",35.06786093,129.0808759
남다른썬치킨 영도2호점,"부산광역시 영도구 동삼로 55, (동삼동)",35.07840268,129.0702363
마왕족발 영도점,"부산광역시 영도구 남항로 6-1, (남항동2가)",35.08983938,129.0373322
페리카나(동삼점),"부산광역시 영도구 태종로 688-2, (동삼동)",35.07222036,129.0751772
케네디로즈,"부산광역시 영도구 웃서발로 79, (동삼동,근생2호)",35.07907303,129.0708811
수림커피비어,"부산광역시 영도구 태종로 71, (대교동1가)",35.09268326,129.0389146
서민통닭,"부산광역시 영도구 동삼서로 46, (동삼동)",35.08290568,129.0696702
교촌치킨(봉래 영선점),"부산광역시 영도구 한결길 12, 1층 (영선동1가)",35.09140644,129.0448315
티바두마리치킨,"부산광역시 영도구 웃서발로 16-1, (동삼동)",35.08214225,129.0673135
남항점굽네치킨,"부산광역시 영도구 절영로93번길 25-1, (남항동2가)",35.08764999,129.0403641
네네치킨,"부산광역시 영도구 남항로 24-2, (남항동2가)",35.08914788,129.0391329
