기준_년분기_코드,상권_구분_코드,상권_코드,서비스_업종_코드,당월_매출_금액,당월_매출_건수,주말_매출_금액,월요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_11~14_매출_금액,시간대_17~21_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,주중_매출_건수,월요일_매출_건수,일요일_매출_건수,시간대_건수~11_매출_건수,시간대_건수~21_매출_건수
20223,D,3120038,CS100002,256899056.0,9753,53111635.0,26801092.0,21073598.0,0.0,105656475.0,98072328.0,63744900.0,1110445,20607278,31238854.0,7892,1251,712,16,2808
20223,R,3130063,CS100002,73992193.0,5208,21663901.0,11181047.0,12165457.0,0.0,28690034.0,30502374.0,32842640.0,1643955,9476297,8189603.0,3869,875,728,4,2023
20223,A,3110084,CS100002,82527157.0,1851,32655290.0,4902100.0,12681518.0,0.0,11009543.0,37595756.0,31445105.0,756703,18757593,36377867.0,1211,152,237,0,748
20223,D,3120056,CS100002,810555416.0,37425,231914716.0,101964075.0,130442701.0,8133400.0,345587760.0,294416186.0,228946896.0,17359861,101872613,119974057.0,27942,4698,5081,233,12017
20223,D,3120071,CS100002,30540697.0,729,9464951.0,5540745.0,3619409.0,0.0,10707499.0,9539872.0,8035821.0,0,934766,6329220.0,489,105,122,6,210
20223,A,3110282,CS100002,64463174.0,3042,13179412.0,9526619.0,5590879.0,0.0,34938738.0,17476815.0,13958050.0,1014783,7982108,8658629.0,2340,404,332,59,762
20223,A,3110410,CS100002,40490511.0,2423,9915328.0,5383942.0,7667153.0,0.0,16134307.0,18545986.0,11314783.0,198356,2432588,6395805.0,2037,373,275,0,905
20223,R,3130139,CS100002,56453367.0,786,20754829.0,3772030.0,6758462.0,5019746.0,0.0,27085833.0,17727962.0,0,11911065,14591344.0,480,58,110,0,381
20223,D,3120079,CS100002,761222396.0,35930,257874485.0,67228177.0,118322346.0,328416.0,243028458.0,328578576.0,315268855.0,50453750,105001015,94034159.0,25533,3457,4886,89,15193
20223,A,3110732,CS100002,60276180.0,2128,9015758.0,7436055.0,3674700.0,0.0,31761307.0,15739569.0,9609371.0,114365,4255579,4882442.0,1888,327,34,10,508
20223,D,3120136,CS100002,141189224.0,8891,10486068.0,22700712.0,0.0,0.0,88385663.0,36881825.0,35586186.0,334468,15284950,33901060.0,8181,1422,0,23,2201
20223,D,3120120,CS100002,459691740.0,20734,144244830.0,71219754.0,62837969.0,3596087.0,96150087.0,234601233.0,209841994.0,20717335,99857547,91605904.0,14838,3187,2838,37,9419
20223,D,3120142,CS100002,7297887439.0,143330,2975263960.0,877899459.0,1601800009.0,750131834.0,778956087.0,2535185111.0,2715886530.0,16322322,838393632,2776953837.0,90162,18577,27823,8709,46339
20223,D,3120139,CS100002,224462679.0,6622,80062711.0,26678183.0,46305465.0,0.0,85531865.0,76477505.0,64149070.0,1270618,19285931,40625456.0,4946,804,927,89,1813
20223,A,3110654,CS100002,121251538.0,5355,47622173.0,14133363.0,28386718.0,0.0,49129609.0,45579021.0,41449925.0,80759,12050091,25109168.0,3483,640,1113,161,1748
20223,D,3120185,CS100002,1597488776.0,40690,261694434.0,224138980.0,67843094.0,128327793.0,454416522.0,525373678.0,452768949.0,2289911,300809374,423868865.0,35341,6115,1452,132,9855
20223,D,3120235,CS100002,353698606.0,11326,34642201.0,68546949.0,12163023.0,0.0,253888689.0,72080065.0,49642132.0,384793,28591598,65336544.0,10281,2180,505,0,1759
20223,D,3120242,CS100002,318972456.0,14311,92569666.0,45430789.0,49442696.0,0.0,149180936.0,110317476.0,87207513.0,0,30801143,48854788.0,10846,2063,1821,177,4533
20223,A,3111059,CS100002,166264579.0,11615,52066051.0,9118669.0,29358728.0,0.0,73466115.0,56012439.0,44864634.0,615138,15221135,28692195.0,8448,475,1840,15,3403
