지역코드,연도,월,전용면적,층,건축년도,거래금액,거래금액_B,법정동1,아파트1,거래금액1
30200,2018,4,84.984,3,2000,29500,1,지족동,ㅇ,10.29217944
41570,2020,9,101.96,11,2011,44500,1,장기동,ㅊ,10.70326694
26140,2016,12,102.7835,5,2014,51750,1,기타동,ㄷ,10.85419903
11320,2021,11,58.59,3,1987,73500,1,창동,ㅅ,11.20505429
48170,2019,3,84.29,3,1991,13200,0,기타동,ㄷ,9.488047863
41173,2017,5,49.8,16,1993,27300,1,관양동,ㄱ,10.21467861
44150,2019,8,84.98,12,1996,11000,0,기타동,ㄷ,9.305741457
46830,2020,8,59.96,14,1999,6550,0,기타동,ㅈ,8.787372989
41150,2019,8,84.9907,11,2018,39700,1,민락동,ㅇ,10.58913166
46130,2018,11,72.45,12,1996,17400,0,기타동,ㅇ,9.764282955
48125,2019,8,59.98,4,1998,11900,0,기타동,ㅎ,9.384377709
11590,2016,1,84.84,18,2011,72900,1,기타동,ㅎ,11.19685764
41590,2020,6,84.91,7,2017,80600,1,기타동,ㄷ,11.29726634
30200,2019,2,117.53,15,1994,24000,0,기타동,ㅅ,10.08585078
48330,2018,8,59.988,10,2015,17500,0,기타동,ㅁ,9.770013301
28237,2022,9,84.96,8,1987,45000,1,산곡동,ㅎ,10.71443999
43150,2020,2,84.9857,9,2007,19070,0,기타동,ㅈ,9.855924136
41410,2018,12,151.397,14,1994,53700,1,산본동,ㅎ,10.8911869
27290,2022,8,59.85,8,1997,21200,0,용산동,ㅅ,9.961803629
30110,2019,7,81.4295,15,2003,15000,0,기타동,ㅂ,9.615872145
29170,2018,11,84.865,14,1990,16600,0,운암동,ㅅ,9.717218213
47130,2019,10,37.8,12,1995,2350,0,기타동,ㅇ,7.762596049
48220,2023,1,84.94,20,2010,14900,0,기타동,ㅎ,9.609183604
41173,2018,5,37.85,11,1992,26800,1,평촌동,ㅊ,10.19619448
43113,2019,3,59.94,9,1997,12500,0,가경동,ㅅ,9.43356392
44133,2023,2,59.86,2,2020,28000,1,두정동,ㄷ,10.2399955
41570,2017,11,59.933,12,1998,24400,1,기타동,ㅍ,10.10237939
41285,2020,3,59.93,6,1995,18400,0,중산동,ㅈ,9.82016029
44200,2019,5,39.78,1,2000,5900,0,기타동,ㅈ,8.682877107
48880,2017,10,84.9841,7,2011,14000,0,기타동,ㅇ,9.546884035
44131,2019,3,84.9877,16,2011,19750,0,기타동,ㅅ,9.890959402
41360,2020,4,84.924,17,2009,30000,1,기타동,ㄴ,10.30898599
41570,2020,10,84.75,10,1995,24000,0,기타동,ㅅ,10.08585078
41273,2022,3,59.126,22,2020,27500,1,기타동,ㅊ,10.22197765
41390,2016,5,59.62,5,1998,19000,0,정왕동,ㅈ,9.852246888
29140,2017,6,84.9831,5,2002,22850,0,금호동,ㅈ,10.03675016
41463,2018,10,84.464,19,2002,28800,1,기타동,S,10.26816539
41173,2015,5,51.3,2,1988,17000,0,호계동,ㅇ,9.741027445
31710,2020,8,59.9126,5,2017,23300,0,기타동,ㄷ,10.05625156
45113,2016,3,59.991,9,2006,18600,0,인후동1가,ㅇ,9.830970622
47850,2020,4,84.5646,8,2008,13130,0,기타동,ㅎ,9.482731126
11170,2017,1,45.26,1,1971,13000,0,도원동,ㅈ,9.472781557
30140,2019,2,64.39,3,1991,11900,0,기타동,ㅎ,9.384377709
30200,2016,12,84.93,4,1992,21000,0,기타동,ㅎ,9.952325335
44770,2020,6,41.24,9,2019,12300,0,기타동,ㅈ,9.417435839
28260,2020,6,69.39,5,2017,37000,1,가좌동,ㅇ,10.51870022
30170,2019,12,59.8,12,1993,30000,1,기타동,ㅊ,10.30898599
31200,2020,2,59.979,14,2007,19200,0,기타동,ㅇ,9.86271764
45210,2020,4,29.71,6,2015,7600,0,기타동,ㄱ,8.936035097
44800,2020,4,46.2,14,2001,8500,0,기타동,ㅈ,9.047939083
31140,2020,5,116.82,2,2008,39000,1,야음동,ㄹ,10.57134257
48127,2023,4,41.85,4,1993,5800,0,기타동,ㅈ,8.665785595
47113,2020,6,84.515,16,1999,12400,0,장성동,ㄷ,9.425532394
41590,2015,5,59.92,14,2004,20250,0,병점동,ㅇ,9.915959454
41173,2018,10,84.64,8,2012,83000,1,관양동,ㄷ,11.32660793
43113,2019,11,84.9468,4,2008,27000,1,가경동,ㄱ,10.20362918
29200,2022,3,44.94,2,1991,8000,0,기타동,ㅎ,8.987321813
11590,2016,6,84.967,5,2003,58000,1,사당동,ㅅ,10.96821553
11440,2015,8,75.2,6,2001,38000,1,기타동,ㅎ,10.54536775
41500,2020,6,39.825,12,1996,7800,0,기타동,ㄷ,8.96200721
27260,2019,8,42.66,3,1986,19500,0,지산동,ㅁ,9.878221025
11110,2020,2,59.22,13,1998,38000,1,기타동,ㄷ,10.54536775
45111,2017,9,39.24,5,1987,4200,0,삼천동1가,ㅆ,8.343077871
30170,2015,10,84.9167,10,2011,32000,1,기타동,ㅎ,10.37352243
44131,2018,4,53.85,4,1986,9000,0,기타동,ㅈ,9.105090961
41250,2019,2,84.874,1,2009,15800,0,기타동,ㅅ,9.667828508
29140,2019,5,59.99,4,1998,18500,0,기타동,ㅎ,9.825580064
28237,2015,4,57.87,3,1990,16000,0,삼산동,ㄱ,9.680406499
11470,2016,6,54.94,3,1987,51500,1,신정동,ㅁ,10.8493565
47130,2023,2,39.9738,4,1999,2200,0,기타동,ㅎ,7.696667082
45113,2015,10,102.8716,16,2006,28800,1,기타동,ㅋ,10.26816539
28260,2018,12,59.999,12,2010,28700,1,기타동,ㅅ,10.26468724
44230,2015,5,59.657,1,2002,8750,0,기타동,ㅈ,9.076923259
27710,2023,1,84.9476,4,2005,26500,1,기타동,ㅌ,10.18493775
11710,2016,9,84.98,11,1984,79800,1,기타동,ㅎ,11.28729131
41220,2020,5,66.9,17,2018,25000,1,기타동,ㅈ,10.1266711
46170,2021,3,39.99,6,1996,4400,0,기타동,ㅅ,8.389587067
31140,2019,7,55.974,9,2017,26300,1,삼산동,ㅅ,10.17736224
29155,2023,3,84.9772,15,2019,44500,1,기타동,ㅎ,10.70326694
26320,2016,3,59.89,24,2004,27400,1,화명동,ㄷ,10.21833479
31140,2020,1,159.092,10,2011,62750,1,신정동,ㄱ,11.04692979
11680,2020,7,12.449,4,2015,23000,0,기타동,ㅊ,10.04329297
30140,2018,1,84.9252,4,2002,14000,0,기타동,ㅅ,9.546884035
11380,2021,8,59.82,11,1998,72000,1,기타동,ㅇ,11.18443529
41370,2019,1,84.9894,5,2004,18000,0,기타동,ㄴ,9.798182591
41820,2021,3,59.87,13,2018,20000,0,기타동,ㅇ,9.903537551
11710,2019,7,63.79,10,2000,55000,1,기타동,ㅇ,10.91510665
41670,2015,10,58.74,3,1999,9200,0,기타동,ㅅ,9.127067453
45113,2017,4,59.48,1,1989,7300,0,기타동,ㅅ,8.895766604
41271,2020,5,114.59,10,1994,29700,1,사동,ㅅ,10.29893599
44825,2018,1,49.85,13,2000,10600,0,기타동,ㅈ,9.268703615
28260,2022,10,46.41,1,1991,10000,0,기타동,ㄷ,9.210440367
11680,2015,1,114.83,18,1999,93400,1,기타동,ㅅ,11.44465733
46770,2022,4,49.3542,8,2018,12000,0,기타동,ㄱ,9.392745259
41570,2019,11,107.5928,22,2012,36250,1,장기동,ㅊ,10.49822225
48123,2018,9,76.17,6,2007,35800,1,반림동,ㄴ,10.4857311
41285,2015,3,74.52,1,1995,20100,0,중산동,ㅈ,9.908524844
28140,2017,11,59.75,17,2009,21400,0,기타동,ㅅ,9.971192929
30230,2022,5,73.42,13,1999,33200,1,기타동,ㅅ,10.41033527
48310,2020,12,47.31,4,1992,13600,0,기타동,ㅈ,9.517898598
36110,2016,4,84.84,11,1999,14450,0,기타동,ㅅ,9.578518895
48129,2018,11,84.9833,1,2005,22650,0,기타동,ㅎ,10.02795928
30230,2019,8,84.45,14,1991,14700,0,기타동,ㄱ,9.595670798
41210,2020,7,47.1,3,1985,76000,1,철산동,ㅈ,11.23850178
46130,2022,5,84.985,4,1991,19500,0,기타동,ㅅ,9.878221025
41210,2022,3,84.95,27,2019,139500,1,기타동,ㅇ,11.84582705
41410,2020,4,54.27,4,1990,21800,0,금정동,ㅅ,9.989711119
28260,2018,12,52.65,2,1985,16700,0,기타동,ㄹ,9.723223877
43111,2023,1,59.76,9,1995,13000,0,용암동,ㅌ,9.472781557
11680,2015,9,49.639,7,2012,89850,1,기타동,ㅊ,11.40590802
29200,2019,3,49.83,22,2001,13500,0,운남동,ㅇ,9.510519036
48240,2020,10,76.995,7,2009,13500,0,기타동,ㅅ,9.510519036
28237,2020,1,84.87,1,1986,38700,1,부평동,ㄷ,10.56362072
42210,2017,11,84.96,13,1997,17000,0,교동,ㄷ,9.741027445
30110,2016,1,40.5993,14,2000,8500,0,기타동,ㅍ,9.047939083
48240,2017,4,76.525,2,1994,6800,0,기타동,ㅌ,8.824824939
27260,2017,6,49.92,10,1995,18500,0,기타동,ㅎ,9.825580064
48250,2023,4,84.752,10,2004,19500,0,삼문동,ㅈ,9.878221025
30170,2016,8,101.93,6,1994,28000,1,월평동,ㅁ,10.2399955
46150,2016,3,49.71,1,1989,4000,0,조례동,ㅁ,8.294299609
41410,2020,8,58.71,10,1994,40000,1,산본동,ㅇ,10.59665973
41135,2017,8,59.995,4,1991,53000,1,기타동,ㅅ,10.87806606
47190,2020,5,84.7474,4,2016,24700,1,기타동,ㅎ,10.11459901
41220,2020,4,46.68,5,1989,15000,0,기타동,ㅈ,9.615872145
28237,2016,4,118.1342,18,2004,49800,1,삼산동,ㅅ,10.81579034
41465,2020,1,74.1285,10,1995,49800,1,풍덕천동,ㅅ,10.81579034
11440,2015,10,59.97,9,1997,48000,1,기타동,ㅎ,10.77897712
29170,2023,2,84.3616,20,2013,36000,1,기타동,ㄱ,10.49130199
30230,2016,11,39.72,3,1986,10700,0,기타동,ㅈ,9.278092474
41630,2019,2,49.71,5,2000,12200,0,기타동,ㅈ,9.409273195
41570,2020,10,84.9973,6,2012,37500,1,장기동,ㅎ,10.53212288
11200,2019,3,84.93,4,1986,73000,1,기타동,ㅅ,11.19822842
41465,2017,12,101.954,19,2010,55500,1,성복동,ㅂ,10.92415632
41630,2023,3,49.774,3,2021,26900,1,덕계동,ㅇ,10.19991874
28177,2022,6,32.11,5,2002,8500,0,기타동,ㅇ,9.047939083
41450,2019,6,49.98,13,1994,32500,1,기타동,ㅂ,10.38902614
41550,2016,3,84.982,19,2004,22800,0,기타동,ㅇ,10.03455967
41190,2020,6,84.989,19,2009,62500,1,중동,ㅍ,11.04293784
45111,2016,5,59.028,5,1996,10350,0,서신동,ㅆ,9.244838412
45130,2022,5,34.38,5,1990,3200,0,기타동,ㅅ,8.07121854
26380,2016,8,39.78,7,1991,7700,0,다대동,ㅅ,8.94910547
41360,2019,9,84.96,6,1995,19800,0,기타동,ㅅ,9.89348772
44200,2022,6,79.9897,18,2015,27850,1,기타동,ㅌ,10.23462415
28260,2019,3,84.935,4,2004,17300,0,기타동,ㄱ,9.758519582
45111,2019,7,84.68,4,2010,28500,1,기타동,ㅇ,10.25769445
27290,2015,4,84.9172,11,2007,31500,1,기타동,ㅅ,10.35777457
11410,2015,11,59.94,11,2002,29300,1,기타동,ㅁ,10.28537692
41370,2019,6,84.9355,12,2009,21800,0,고현동,ㄱ,9.989711119
26290,2020,3,84.79,8,2012,17300,0,기타동,ㅇ,9.758519582
44150,2020,10,84.66,5,1986,6300,0,기타동,ㄱ,8.74846363
43130,2020,10,84.73,1,1990,9800,0,연수동,ㅇ,9.1902397
11680,2015,7,84.43,7,1979,112000,1,기타동,ㅇ,11.62626308
11440,2016,1,95.9,3,2003,38500,1,기타동,ㅅ,10.55843949
41370,2015,3,59.553,10,2000,15000,0,원동,ㄷ,9.615872145
41113,2019,7,84.913,1,2012,38000,1,권선동,ㅅ,10.54536775
11590,2015,3,110.78,4,2004,42500,1,사당동,ㅈ,10.65728288
29140,2015,4,84.9,11,1998,21500,0,기타동,ㅁ,9.975854725
41220,2019,6,59.854,10,2003,11000,0,기타동,ㄷ,9.305741457
11680,2018,3,110.51,3,2005,83000,1,기타동,기타아파트,11.32660793
41135,2015,1,84.6283,14,2009,59400,1,기타동,ㅅ,10.99206634
27290,2020,1,84.9249,11,2016,52000,1,기타동,ㅇ,10.85901823
48250,2020,3,59.9888,4,2003,10000,0,삼문동,ㄱ,9.210440367
41480,2015,10,59.921,5,2010,24350,1,와동동,ㄱ,10.1003282
41273,2015,4,75.126,10,2004,32300,1,초지동,ㅅ,10.38285347
42150,2022,4,104.17,5,1989,11000,0,기타동,ㄷ,9.305741457
41150,2020,4,59.94,13,1995,18800,0,기타동,ㅅ,9.841665339
30110,2019,12,55.43,4,1980,9000,0,기타동,ㅊ,9.105090961
11680,2015,6,126.33,2,1985,154500,1,기타동,ㅎ,11.94795585
44133,2018,6,59.92,20,2015,17500,0,기타동,E,9.770013301
48170,2018,8,59.5,3,1998,13300,0,기타동,ㄷ,9.495594499
11650,2016,12,121.48,3,2010,153500,1,기타동,ㅅ,11.94146236
48170,2018,10,33.39,6,1992,5000,0,평거동,ㄱ,8.517393171
47111,2020,12,102.609,13,2000,30000,1,기타동,ㅇ,10.30898599
48250,2016,3,84.923,15,1994,23300,0,내동,ㄷ,10.05625156
11230,2018,4,70.25,4,2004,31000,1,장안동,ㅇ,10.34177474
41590,2018,4,84.99,6,2002,24400,1,반월동,ㅅ,10.10237939
26350,2022,4,49.2553,13,2018,33200,1,우동,ㅅ,10.41033527
28200,2015,3,74.92,6,1990,17200,0,만수동,ㅅ,9.752722801
