지역코드,월,전용면적,층,거래금액,거래금액_B,법정동1,아파트1,거래금액1,연도1,건축년도1
30200,4,84.984,3,29500,1,지족동,ㅇ,10.29217944,58,40
41570,9,101.96,11,44500,1,장기동,ㅊ,10.70326694,60,51
26140,12,102.7835,5,51750,1,기타동,ㄷ,10.85419903,56,54
11320,11,58.59,3,73500,1,창동,ㅅ,11.20505429,61,27
48170,3,84.29,3,13200,0,기타동,ㄷ,9.488047863,59,31
41173,5,49.8,16,27300,1,관양동,ㄱ,10.21467861,57,33
44150,8,84.98,12,11000,0,기타동,ㄷ,9.305741457,59,36
46830,8,59.96,14,6550,0,기타동,ㅈ,8.787372989,60,39
41150,8,84.9907,11,39700,1,민락동,ㅇ,10.58913166,59,58
46130,11,72.45,12,17400,0,기타동,ㅇ,9.764282955,58,36
48125,8,59.98,4,11900,0,기타동,ㅎ,9.384377709,59,38
11590,1,84.84,18,72900,1,기타동,ㅎ,11.19685764,56,51
41590,6,84.91,7,80600,1,기타동,ㄷ,11.29726634,60,57
30200,2,117.53,15,24000,0,기타동,ㅅ,10.08585078,59,34
48330,8,59.988,10,17500,0,기타동,ㅁ,9.770013301,58,55
28237,9,84.96,8,45000,1,산곡동,ㅎ,10.71443999,62,27
43150,2,84.9857,9,19070,0,기타동,ㅈ,9.855924136,60,47
41410,12,151.397,14,53700,1,산본동,ㅎ,10.8911869,58,34
27290,8,59.85,8,21200,0,용산동,ㅅ,9.961803629,62,37
30110,7,81.4295,15,15000,0,기타동,ㅂ,9.615872145,59,43
29170,11,84.865,14,16600,0,운암동,ㅅ,9.717218213,58,30
47130,10,37.8,12,2350,0,기타동,ㅇ,7.762596049,59,35
48220,1,84.94,20,14900,0,기타동,ㅎ,9.609183604,63,50
41173,5,37.85,11,26800,1,평촌동,ㅊ,10.19619448,58,32
43113,3,59.94,9,12500,0,가경동,ㅅ,9.43356392,59,37
44133,2,59.86,2,28000,1,두정동,ㄷ,10.2399955,63,60
