지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
30200,지족동,4/30/2018 0:00,열매마을6단지(현대2차),880,84.984,3,2000,29500
41570,장기동,9/5/2020 0:00,초당마을(우남퍼스트빌),Jan-65,101.96,11,2011,44500
26140,서대신동3가,2016-12-06 0:00,대신 롯데캐슬,762,102.7835,5,2014,51750
11320,창동,2021-11-24,상아1차아파트,299,58.59,3,1987,"73,500"
48170,하대동,3/2/2019 0:00,대림,100,84.29,3,1991,13200
41173,관양동,2017-05-10 0:00,공작럭키,1587,49.8,16,1993,27300
44150,신관동,2019-08-09 0:00,대아곰나루,5,84.98,12,1996,11000
46830,삼호읍 용앙리,2020-08-10 0:00,종원,222-9,59.96,14,1999,6550
41150,민락동,8/31/2019 0:00,의정부민락우미린더스카이,889,84.9907,11,2018,39700
46130,시전동,2018-11-16 0:00,우미,243,72.45,12,1996,17400
48125,월영동,8/12/2019 0:00,현대5,710-1,59.98,4,1998,11900
11590,흑석동,2016-01-15 0:00,흑석한강센트레빌,335,84.84,18,2011,72900
41590,영천동,2020-06-12 0:00,동탄역 센트럴상록 아파트,662,84.91,7,2017,80600
30200,전민동,2019-02-02 0:00,세종,462-5,117.53,15,1994,24000
48330,명동,2018-08-12 0:00,명동 삼한 사랑채 아파트,1079-3,59.988,10,2015,17500
28237,산곡동,2022-09-07 0:00,현대2차,311-126,84.96,8,1987,"45,000"
43150,하소동,2/29/2020 0:00,제천그린코아루2차,198,84.9857,9,2007,19070
41410,산본동,12/14/2018 0:00,한양목련,1088,151.39700000000005,14,1994,53700
27290,용산동,2022-08-23 0:00,성서영남우방타운,414-1,59.85,8,1997,"21,200"
30110,인동,2019-07-01 0:00,부성한울,Jan-73,81.4295,15,2003,15000
29170,운암동,11/7/2018 0:00,삼호,363,84.865,14,1990,16600
47130,외동읍 입실리,2019-10-10 0:00,영수,170-2,37.8,12,1995,2350
48220,광도면 안정리,2023-01-16 0:00,현대성우오스타1단지,1075,84.94,20,2010,"14,900"
41173,평촌동,5/1/2018 0:00,초원부영,896-6,37.85,11,1992,26800
43113,가경동,2019-03-31 0:00,삼일원앙,1514,59.94,9,1997,12500
44133,두정동,2023-02-04 0:00,두정역효성해링턴플레이스,2078,59.86,2,2020,"28,000"
41570,사우동,2017-11-19 0:00,풍년마을(현대),911,59.933,12,1998,24400
41285,중산동,2020-03-03 0:00,중산마을2(코오롱),1556,59.93,6,1995,18400
44200,풍기동,2019-05-13 0:00,주은,229-71,39.78,1,2000,5900
48880,거창읍 가지리,2017-10-13 0:00,에이스타운 ,223,84.9841,7,2011,14000
44131,청당동,2019-03-30 0:00,산운마을 부영사랑으로,609,84.9877,16,2011,19750
41360,진접읍 장현리,4/18/2020 0:00,남양주진접롯데캐슬,702,84.92399999999998,17,2009,30000
41570,감정동,2020-10-26 0:00,신화,674,84.75,10,1995,24000
41273,와동,2022-03-10 0:00,천년가리더스카이,885,59.126,22,2020,"27,500"
41390,정왕동,2016-05-28 0:00,주공5,1844,59.62,5,1998,19000
29140,금호동,2017-06-18 0:00,종원팰리스빌,240-2,84.9831,5,2002,22850
41463,서천동,10/9/2018 0:00,SK,700,84.464,19,2002,28800
41173,호계동,2015-05-06 0:00,유환3차,970-17,51.3,2,1988,17000
31710,청량읍 상남리,2020-08-25 0:00,덕하상남지구골드클래스,878-1,59.9126,5,2017,23300
45113,인후동1가,2016-03-01 0:00,인후동한신휴플러스,1029,59.99100000000001,9,2006,18600
47850,석적읍 남율리,2020-04-18 0:00,한솔솔파크강변,764,84.5646,8,2008,13130
11170,도원동,2017-01-27 0:00,제일1,03월 04일,45.26,1,1971,13000
30140,산성동,2019-02-22 0:00,한밭가든,May-78,64.39,3,1991,11900
30200,어은동,2016-12-16 0:00,한빛,99,84.93,4,1992,21000
44770,장항읍 창선2리,2020-06-01 0:00,장항더포레아파트,188-3,41.24,9,2019,12300
28260,가좌동,2020-06-24 0:00,"인천가좌두산위브트레지움 1,2단지",611,69.39,5,2017,37000
30170,만년동,2019-12-23 0:00,초원,01월 01일,59.8,12,1993,30000
31200,양정동,2/20/2020 0:00,양정힐스테이트,500-33,59.979,14,2007,19200
45210,검산동,4/14/2020 0:00,검산시티타워149,847-10,29.71,6,2015,7600
44800,홍성읍 남장리,2020-04-27 0:00,주공아파트1차,515,46.2,14,2001,8500
31140,야음동,2020-05-30 0:00,롯데캐슬골드2단지,878,116.82,2,2008,39000
48127,내서읍 상곡리,2023-04-19 0:00,중리근로복지,192,41.85,4,1993,"5,800"
47113,장성동,6/18/2020 0:00,대림골든빌,1578-1,84.515,16,1999,12400
41590,병점동,2015-05-16 0:00,안화동마을주공7단지,849,59.92,14,2004,20250
41173,관양동,10/11/2018 0:00,동편마을(3단지),1651,84.64,8,2012,83000
43113,가경동,2019-11-28 0:00,가로수마을선광로즈웰,1758,84.9468,4,2008,27000
26440,명지동,12/13/2018 0:00,엘크루블루오션,3243,179.97,3,2012,78000
29200,우산동,2022-03-02 0:00,하남주공(2단지),1571-1,44.94,2,1991,"8,000"
11590,사당동,2016-06-21 0:00,삼성래미안,1133,84.96700000000001,5,2003,58000
11440,망원동,2015-08-01 0:00,함성백합,493,75.2,6,2001,38000
41500,증포동,2020-06-25 0:00,대원,218-7,39.825,12,1996,7800
27260,지산동,2019-08-23 0:00,목련,1200,42.66,3,1986,19500
11110,신영동,2020-02-11,대아파크빌,254,59.22,13,1998,38000
45111,삼천동1가,2017-09-20 0:00,쌍용2단지,585-2,39.24,5,1987,4200
30170,도안동,2015-10-13 0:00,한라비발디,966,84.9167,10,2011,32000
44131,다가동,2018-04-19 0:00,주공4단지,30,53.85,4,1986,9000
41250,동두천동,2019-02-07 0:00,신창비바패밀리(1단지),524,84.874,1,2009,15800
29140,치평동,2019-05-09 0:00,해광한신,1168,59.99,4,1998,18500
28237,삼산동,2015-04-21 0:00,광명12차,359,57.87,3,1990,16000
11470,신정동,2016-06-17 0:00,목동신시가지8,314,54.94,3,1987,51500
47130,안강읍 산대리,2023-02-27 0:00,한동그린타운,1346-9,39.9738,4,1999,"2,200"
45113,송천동1가,2015-10-27 0:00,케이제이라미안,805,102.8716,16,2006,28800
28260,신현동,12/31/2018 0:00,신현이편한세상하늘채,302-1,59.999,12,2010,28700
44230,화지동,2015-05-12 0:00,조흥,16,59.657,1,2002,8750
27710,화원읍 천내리,2023-01-27 0:00,태왕리더스,138-1,84.9476,4,2005,"26,500"
11710,오금동,2016-09-30 0:00,현대(2-4차),43,84.98,11,1984,79800
41220,장당동,5/29/2020 0:00,제일풍경채장당센트럴,660,66.9,17,2018,25000
46170,송월동,2021-03-23 0:00,송월주공,660,39.99,6,1996,4400
31140,삼산동,2019-07-11 0:00,삼산리버뷰웰가,183-1,55.974,9,2017,26300
29155,임암동,2023-03-02 0:00,효천1중흥에스-클래스에코파크,855,84.9772,15,2019,"44,500"
26320,화명동,2016-03-31 0:00,대림쌍용강변타운,2306,59.89,24,2004,27400
31140,신정동,1/13/2020 0:00,강변센트럴하이츠,319,159.092,10,2011,62750
11680,청담동,2020-07-30 0:00,청담스위트,34-13,12.449000000000002,4,2015,23000
30140,사정동,1/31/2018 0:00,샛뜸,439-14,84.9252,4,2002,14000
11380,응암동,2021-08-28,응암동금호,739,59.82,11,1998,"72,000"
41370,양산동,2019-01-30 0:00,늘푸른오스카빌,666,84.9894,5,2004,18000
41820,청평면 청평리,2021-03-21 0:00,이안지안스청평,657-1,59.87,13,2018,20000
11710,풍납동,2019-07-15 0:00,연지토성,400-5,63.79,10,2000,55000
41670,가남읍 심석리,2015-10-08 0:00,세광리치타운(101동-108동),118,58.74,3,1999,9200
45113,호성동1가,2017-04-22 0:00,신동아,731-4,59.48,1,1989,7300
41271,사동,5/15/2020 0:00,신우,1344-1,114.59,10,1994,29700
44825,태안읍 동문리,2018-01-13 0:00,주공,Jan-92,49.85,13,2000,10600
28260,석남동,2022-10-14 0:00,동진4,111-13,46.41,1,1991,"10,000"
11680,청담동,2015-01-15 0:00,삼성청담아파트,42,114.83,18,1999,93400
46770,도양읍 봉암리,2022-04-23 0:00,고흥오션뷰,3212,49.3542,8,2018,"12,000"
41570,장기동,2019-11-29 0:00,청송마을중흥에스-클래스,1866-1,107.5928,22,2012,36250
48123,반림동,2018-09-20 0:00,노블파크,10,76.17,6,2007,35800
41285,중산동,2015-03-19 0:00,중산마을11(현대),1575-4,74.52,1,1995,20100
28140,송림동,2017-11-08 0:00,송림휴먼시아1단지,341,59.75,17,2009,21400
30230,송촌동,2022-05-06 0:00,선비마을3단지,461-1,73.42,13,1999,"33,200"
48310,장평동,2020-12-26 0:00,장평주공2차(신주공),619,47.31,4,1992,13600
36110,조치원읍 신흥리,2016-04-13 0:00,신흥주공,393,84.84,11,1999,14450
48129,풍호동,2018-11-12 0:00,한림리츠빌,83-77,84.9833,1,2005,22650
30230,비래동,2019-08-28 0:00,금성백조(133-5),133-5,84.45,14,1991,14700
41210,철산동,7/25/2020 0:00,저층주공9,235,47.1,3,1985,76000
46130,신기동,2022-05-06 0:00,신화,140,84.985,4,1991,"19,500"
41210,일직동,2022-03-28 0:00,유-플래닛태영데시앙,512,84.95,27,2019,"139,500"
41410,금정동,4/10/2020 0:00,신환,744-1,54.27,4,1990,21800
28260,석남동,12/19/2018 0:00,롯데우람,491-3,52.65,2,1985,16700
43111,용암동,2023-01-29 0:00,태산그린,2076,59.76,9,1995,"13,000"
11680,청담동,2015-09-01 0:00,청담자이,134-38,49.639,7,2012,89850
29200,운남동,2019-03-01 0:00,운남주공7단지,794-3,49.83,22,2001,13500
48240,죽림동,2020-10-13 0:00,사천 죽림 아리안2차,918-1,76.995,7,2009,13500
28237,부평동,2020-01-17 0:00,동아(1차),May-70,84.87,1,1986,38700
42210,교동,2017-11-14 0:00,동부,781-1,84.96,13,1997,17000
30110,용전동,2016-01-28 0:00,푸른,57-21,40.5993,14,2000,8500
48240,사남면 화전리,2017-04-07 0:00,태성백화맨션,1232-1,76.525,2,1994,6800
27260,매호동,2017-06-21 0:00,하나타운,1331,49.92,10,1995,18500
48250,삼문동,2023-04-14 0:00,젤미마을9단지부영그린타운5차,Oct-62,84.752,10,2004,"19,500"
30170,월평동,2016-08-20 0:00,무궁화,223,101.93,6,1994,28000
46150,조례동,2016-03-21 0:00,명지장미,1299-5,49.71,1,1989,4000
41410,산본동,2020-08-22 0:00,우륵,1146-11,58.71,10,1994,40000
41135,서현동,2017-08-04 0:00,시범삼성,87,59.995,4,1991,53000
47190,산동면 인덕리,2020-05-30 0:00,확장단지 우미린풀하우스,1102,84.7474,4,2016,24700
41220,합정동,2020-04-04 0:00,주공,835,46.68,5,1989,15000
28237,삼산동,2016-04-13 0:00,서해그랑블5단지,454-4,118.1342,18,2004,49800
41465,풍덕천동,2020-01-11 0:00,수지삼성2차,692-1,74.1285,10,1995,49800
11440,토정동,2015-10-07 0:00,한강삼성,138,59.97,9,1997,48000
29170,신용동,2023-02-21 0:00,광주첨단2지구사랑으로부영,737,84.3616,20,2013,"36,000"
30230,법동,2016-11-22 0:00,주공1,284-10,39.72,3,1986,10700
41630,고암동,2019-02-12 0:00,주원마을(주공2단지),121-2,49.71,5,2000,12200
41285,백석동,2022-11-21 0:00,일산요진와이시티,1237,84.49,47,2016,"93,000"
41570,장기동,2020-10-08 0:00,한강신도시 초당마을중흥에스-클래스리버티,Jan-58,84.9973,6,2012,37500
11200,마장동,2019-03-16 0:00,세림,784,84.93,4,1986,73000
41465,성복동,2017-12-09 0:00,버들치마을 성복자이1차,758,101.954,19,2010,55500
41630,덕계동,2023-03-31 0:00,이레하이니스,420-3,49.774,3,2021,"26,900"
28177,숭의동,2022-06-23 0:00,월드네오스빌,296-63,32.11,5,2002,"8,500"
41450,신장동,2019-06-11 0:00,백조현대,528,49.98,13,1994,32500
41550,공도읍 진사리,2016-03-02 0:00,우림루미아트,643,84.98200000000001,19,2004,22800
41190,중동,6/23/2020 0:00,팰리스카운티,1288,84.98899999999998,19,2009,62500
45111,서신동,2016-05-21 0:00,쌍용서신,761-2,59.028,5,1996,10350
45130,산북동,2022-05-21 0:00,시영1차,Jan-51,34.38,5,1990,"3,200"
26380,다대동,2016-08-10 0:00,신다대,113,39.78,7,1991,7700
41360,오남읍 양지리,2019-09-20 0:00,삼신,105,84.96,6,1995,19800
44200,둔포면 석곡리,2022-06-04 0:00,테크노밸리EGthe12단지,1801,79.9897,18,2015,"27,850"
28260,왕길동,2019-03-08 0:00,검단풍림아이원,649-1,84.935,4,2004,17300
45111,효자동2가,2019-07-04 0:00,아르팰리스휴먼시아,1314-1,84.68,4,2010,28500
27290,감삼동,2015-04-11 0:00,성당코오롱하늘채,287-57,84.9172,11,2007,31500
11410,홍제동,2015-11-05 0:00,문화촌현대,463,59.94,11,2002,29300
41370,고현동,6/16/2019 0:00,고현아이파크,270,84.9355,12,2009,21800
26290,감만동,2020-03-13 0:00,유창그린2차,189-78,84.79,8,2012,17300
44150,옥룡동,10/10/2020 0:00,금강빌라,5,84.66,5,1986,6300
43130,연수동,10/15/2020 0:00,우림,926,84.73,1,1990,9800
11680,대치동,2015-07-13 0:00,은마,316,84.43,7,1979,112000
11440,서교동,2016-01-18 0:00,신세계드림빌,470-20,95.9,3,2003,38500
41370,원동,2015-03-10 0:00,대원레스피아,30,59.553,10,2000,15000
41113,권선동,2019-07-22 0:00,수원아이파크시티4단지,1357,84.913,1,2012,38000
11590,사당동,2015-03-28 0:00,장은해그린,1145,110.78,4,2004,42500
29140,쌍촌동,2015-04-03 0:00,모아제일,1282,84.9,11,1998,21500
41220,칠원동,6/14/2019 0:00,동광,499,59.854,10,2003,11000
11680,역삼동,3/19/2018 0:00,(828-76),828-76,110.51,3,2005,83000
41135,운중동,2015-01-11 0:00,산운마을5단지(한성필하우스),989,84.6283,14,2009,59400
27290,월성동,2020-01-02 0:00,월성협성휴포레,1863,84.9249,11,2016,52000
48250,삼문동,3/28/2020 0:00,갑오마을11단지부영e그린타운,583-3,59.9888,4,2003,10000
41480,와동동,2015-10-09 0:00,가람마을1단지벽산한라(1308),1308,59.92100000000001,5,2010,24350
41273,초지동,2015-04-20 0:00,서해그랑블,741,75.126,10,2004,32300
42150,포남동,2022-04-26 0:00,동덕.영진광업소사원주택,1063,104.17,5,1989,"11,000"
41150,의정부동,4/28/2020 0:00,신도2,396-1,59.94,13,1995,18800
30110,홍도동,2019-12-10 0:00,청룡,57,55.43,4,1980,9000
11680,대치동,2015-06-02 0:00,한보미도맨션2,511,126.33,2,1985,154500
30200,지족동,2022-05-03 0:00,인앤인,834,162.48,10,2007,"53,000"
44133,차암동,2018-06-11 0:00,e편한세상 스마일시티,442,59.92,20,2015,17500
48170,하대동,2018-08-23 0:00,대화강변마을,308-22,59.5,3,1998,13300
11650,방배동,2016-12-05 0:00,서리풀e편한세상,906-13,121.48,3,2010,153500
48170,평거동,2018-10-11 0:00,국민주택,741-1,33.39,6,1992,5000
47111,대잠동,2020-12-12 0:00,이동현대홈타운,469-14,102.609,13,2000,30000
48250,내동,2016-03-19 0:00,동부,1132-5,84.92299999999999,15,1994,23300
11230,장안동,4/4/2018 0:00,이한센토빌(410-13),410-13,70.25,4,2004,31000
41590,반월동,2018-04-17 0:00,신영통현대2차,868,84.99,6,2002,24400
26350,우동,2022-04-06 0:00,센텀엘카사,1196-12,49.2553,13,2018,"33,200"
28200,만수동,2015-03-31 0:00,신동아,5-426,74.92,6,1990,17200
48129,청안동,3/20/2019 0:00,해인로즈빌,471,59.7768,6,2002,7500
43770,음성읍 평곡리,2022-07-11 0:00,음성코아루아파트,1117,59.9782,19,2022,"17,569"
29155,봉선동,2017-04-09 0:00,모아2차,1043,59.92,5,1988,12500
41480,와동동,2015-10-08 0:00,가람마을4단지 한양수자인,1321,116.72,10,2011,35400
27260,중동,2020-06-08 0:00,동아,482,52.53,1,1980,28000
11290,길음동,2021-07-03,길음뉴타운1단지(래미안길음1차),1279,59.99,19,2003,"85,500"
41210,광명동,7/26/2019 0:00,중앙하이츠3,374-101,58.24,7,1999,29900
11200,성수동2가,9/20/2018 0:00,현대I-PARK,834,84.98,15,2003,94500
44200,배방읍 장재리,2023-01-27 0:00,요진와이시티,1767,84.7086,8,2011,"48,500"
41570,양촌읍 학운리,2016-07-11 0:00,자연앤데시앙(금빛마을),3019,84.81299999999997,3,2010,20000
41190,상동,2015-11-14 0:00,반달마을(건영),397,59.76,12,1993,24650
41370,원동,2017-07-21 0:00,운암주공5단지,815-1,49.95,14,1999,16600
30110,용전동,2016-06-08 0:00,큰솔101동,48-22,30.4816,4,1999,6750
42210,교동,2022-09-15 0:00,삼환,923,54.58,8,1994,"12,600"
26290,용호동,2015-10-23 0:00,엘지메트로시티1,176-30,84.98,23,2001,39400
41173,호계동,2015-08-14 0:00,서부인터빌,767-2,73.7977,5,2003,26800
41117,매탄동,2016-04-18 0:00,성일,810-4,49.68,13,1988,18400
11410,연희동,2017-12-17 0:00,임광,738,59.96,11,1999,40800
48310,상동동,2020-06-28 0:00,벽산e솔렌스힐3차,Sep-54,84.9511,18,2015,20000
46150,해룡면 상삼리,2015-12-24 0:00,청솔2,694,56.4,6,2001,9800
41220,합정동,2022-04-08 0:00,평택뉴비전엘크루,가-,84.9758,8,2021,"37,698"
11560,양평동3가,2015-09-18 0:00,현대2,Apr-79,80.92,1,1990,37800
42210,조양동,2019-05-23 0:00,속초 KCC 스위첸,1572,59.9027,20,2019,21750
48310,옥포동,2020-06-16 0:00,한주맨션,525-2,73.65,2,1985,5650
11590,상도동,2022-10-03 0:00,씨티아모리움,532,12.7071,4,2012,"11,800"
44131,청수동,7/14/2020 0:00,경남아너스빌,267,84.91,7,2008,20800
28237,삼산동,2015-08-26 0:00,삼산벽산블루밍,170-1,59.2488,9,2005,24000
11680,청담동,2022-03-15 0:00,청담신원아침도시마인,122-35,28.3132,5,2013,"33,250"
26410,구서동,2016-09-03 0:00,구서동 쌍용예가 2단지,1059,157.7983,24,2010,70000
48310,사등면 사곡리,2017-03-20 0:00,거제경남아너스빌,918,74.99,13,2017,22500
28200,만수동,2020-08-19 0:00,담방마을,1049,49.72,8,1994,13600
