지역코드,월,전용면적,층,거래금액_B,연도1,건축년도1,법정동2,아파트2
30200,4,84.984,3,1,58,40,174,30
41570,9,101.96,11,1,60,51,157,33
26140,12,102.7835,5,1,56,54,28,22
11320,11,58.59,3,1,61,27,176,28
48170,3,84.29,3,0,59,31,28,22
41173,5,49.8,16,1,57,33,14,19
44150,8,84.98,12,0,59,36,28,22
46830,8,59.96,14,0,60,39,28,31
41150,8,84.9907,11,1,59,58,61,30
46130,11,72.45,12,0,58,36,28,30
48125,8,59.98,4,0,59,38,28,37
11590,1,84.84,18,1,56,51,28,37
41590,6,84.91,7,1,60,57,28,22
30200,2,117.53,15,0,59,34,28,28
48330,8,59.988,10,0,58,55,28,25
28237,9,84.96,8,1,62,27,84,37
43150,2,84.9857,9,0,60,47,28,31
41410,12,151.397,14,1,58,34,85,37
27290,8,59.85,8,0,62,37,137,28
30110,7,81.4295,15,0,59,43,28,26
29170,11,84.865,14,0,58,30,143,28
47130,10,37.8,12,0,59,35,28,30
48220,1,84.94,20,0,63,50,28,37
41173,5,37.85,11,1,58,32,188,33
43113,3,59.94,9,0,59,37,0,28
44133,2,59.86,2,1,63,60,46,22
41570,11,59.933,12,1,57,38,28,36
41285,3,59.93,6,0,60,35,172,31
44200,5,39.78,1,0,59,40,28,31
48880,10,84.9841,7,0,57,51,28,30
44131,3,84.9877,16,0,59,51,28,28
41360,4,84.924,17,1,60,49,28,21
41570,10,84.75,10,0,60,35,28,28
41273,3,59.126,22,1,62,60,28,33
41390,5,59.62,5,0,56,38,162,31
29140,6,84.9831,5,0,57,42,27,31
41463,10,84.464,19,1,58,42,28,14
41173,5,51.3,2,0,55,28,193,30
31710,8,59.9126,5,0,60,57,28,22
45113,3,59.991,9,0,56,46,152,30
47850,4,84.5646,8,0,60,48,28,37
11170,1,45.26,1,0,57,11,43,31
30140,2,64.39,3,0,59,31,28,37
30200,12,84.93,4,0,56,32,28,37
44770,6,41.24,9,0,60,59,28,31
28260,6,69.39,5,1,60,57,3,30
30170,12,59.8,12,1,59,33,28,33
31200,2,59.979,14,0,60,47,28,30
45210,4,29.71,6,0,60,55,28,19
44800,4,46.2,14,0,60,41,28,31
31140,5,116.82,2,1,60,48,120,24
48127,4,41.85,4,0,63,33,28,31
47113,6,84.515,16,0,60,39,159,22
41590,5,59.92,14,0,55,44,71,30
41173,10,84.64,8,1,58,52,14,22
43113,11,84.9468,4,1,59,48,0,19
29200,3,44.94,2,0,62,31,28,37
11590,6,84.967,5,1,56,43,81,28
11440,8,75.2,6,1,55,41,28,37
41500,6,39.825,12,0,60,36,28,22
27260,8,42.66,3,0,59,26,173,25
11110,2,59.22,13,1,60,38,28,22
45111,9,39.24,5,0,57,27,91,29
30170,10,84.9167,10,1,55,51,28,37
44131,4,53.85,4,0,58,26,28,31
41250,2,84.874,1,0,59,49,28,28
29140,5,59.99,4,0,59,38,28,37
28237,4,57.87,3,0,55,30,89,19
11470,6,54.94,3,1,56,27,115,25
47130,2,39.9738,4,0,63,39,28,37
45113,10,102.8716,16,1,55,46,28,34
28260,12,59.999,12,1,58,50,28,28
44230,5,59.657,1,0,55,42,28,31
27710,1,84.9476,4,1,63,45,28,35
11710,9,84.98,11,1,56,24,28,37
41220,5,66.9,17,1,60,58,28,31
46170,3,39.99,6,0,61,36,28,28
31140,7,55.974,9,1,59,57,89,28
29155,3,84.9772,15,1,63,59,28,37
26320,3,59.89,24,1,56,44,197,22
31140,1,159.092,10,1,60,51,115,19
11680,7,12.449,4,0,60,55,28,33
30140,1,84.9252,4,0,58,42,28,28
11380,8,59.82,11,1,61,38,28,30
41370,1,84.9894,5,0,59,44,28,21
41820,3,59.87,13,0,61,58,28,30
11710,7,63.79,10,1,59,40,28,30
41670,10,58.74,3,0,55,39,28,28
45113,4,59.48,1,0,57,29,28,28
41271,5,114.59,10,1,60,34,82,28
44825,1,49.85,13,0,58,40,28,31
28260,10,46.41,1,0,62,31,28,22
11680,1,114.83,18,1,55,39,28,28
46770,4,49.3542,8,0,62,58,28,19
41570,11,107.5928,22,1,59,52,157,33
48123,9,76.17,6,1,58,47,62,21
41285,3,74.52,1,0,55,35,172,31
28140,11,59.75,17,0,57,49,28,28
30230,5,73.42,13,1,62,39,28,28
48310,12,47.31,4,0,60,32,28,31
36110,4,84.84,11,0,56,39,28,28
48129,11,84.9833,1,0,58,45,28,37
30230,8,84.45,14,0,59,31,28,19
41210,7,47.1,3,1,60,25,178,31
46130,5,84.985,4,0,62,31,28,28
41210,3,84.95,27,1,62,59,28,30
41410,4,54.27,4,0,60,30,25,28
28260,12,52.65,2,0,58,25,28,24
43111,1,59.76,9,0,63,35,138,35
11680,9,49.639,7,1,55,52,28,33
29200,3,49.83,22,0,59,41,142,30
48240,10,76.995,7,0,60,49,28,28
28237,1,84.87,1,1,60,26,77,22
42210,11,84.96,13,0,57,37,17,22
30110,1,40.5993,14,0,56,40,28,36
48240,4,76.525,2,0,57,34,28,35
27260,6,49.92,10,0,57,35,28,37
48250,4,84.752,10,0,63,44,88,31
30170,8,101.93,6,1,56,34,147,25
46150,3,49.71,1,0,56,29,164,25
41410,8,58.71,10,1,60,34,85,30
41135,8,59.995,4,1,57,31,28,28
47190,5,84.7474,4,1,60,56,28,37
41220,4,46.68,5,0,60,29,28,31
28237,4,118.1342,18,1,56,44,89,28
41465,1,74.1285,10,1,60,35,189,28
11440,10,59.97,9,1,55,37,28,37
29170,2,84.3616,20,1,63,53,28,19
30230,11,39.72,3,0,56,26,28,31
41630,2,49.71,5,0,59,40,28,31
41570,10,84.9973,6,1,60,52,157,37
11200,3,84.93,4,1,59,26,28,28
41465,12,101.954,19,1,57,50,101,26
41630,3,49.774,3,1,63,61,41,30
28177,6,32.11,5,0,62,42,28,30
41450,6,49.98,13,1,59,34,28,26
41550,3,84.982,19,0,56,44,28,30
41190,6,84.989,19,1,60,49,171,36
45111,5,59.028,5,0,56,36,98,29
45130,5,34.38,5,0,62,30,28,28
26380,8,39.78,7,0,56,31,35,28
41360,9,84.96,6,0,59,35,28,28
44200,6,79.9897,18,1,62,55,28,35
28260,3,84.935,4,0,59,44,28,19
45111,7,84.68,4,1,59,50,28,30
27290,4,84.9172,11,1,55,47,28,28
11410,11,59.94,11,1,55,42,28,25
41370,6,84.9355,12,0,59,49,12,19
26290,3,84.79,8,0,60,52,28,30
44150,10,84.66,5,0,60,26,28,19
43130,10,84.73,1,0,60,30,124,30
11680,7,84.43,7,1,55,19,28,30
11440,1,95.9,3,1,56,43,28,28
41370,3,59.553,10,0,55,40,145,22
41113,7,84.913,1,1,59,52,23,28
11590,3,110.78,4,1,55,44,81,31
29140,4,84.9,11,0,55,38,28,25
41220,6,59.854,10,0,59,43,28,22
11680,3,110.51,3,1,58,45,28,38
41135,1,84.6283,14,1,55,49,28,28
27290,1,84.9249,11,1,60,56,28,30
48250,3,59.9888,4,0,60,43,88,19
41480,10,59.921,5,1,55,50,134,19
41273,4,75.126,10,1,55,44,181,28
42150,4,104.17,5,0,62,29,28,22
41150,4,59.94,13,0,60,35,28,28
30110,12,55.43,4,0,59,20,28,33
11680,6,126.33,2,1,55,25,28,37
44133,6,59.92,20,0,58,55,28,4
48170,8,59.5,3,0,58,38,28,22
11650,12,121.48,3,1,56,50,28,28
48170,10,33.39,6,0,58,32,186,19
47111,12,102.609,13,1,60,40,28,30
48250,3,84.923,15,0,56,34,31,22
11230,4,70.25,4,1,58,44,160,30
41590,4,84.99,6,1,58,42,65,28
26350,4,49.2553,13,1,62,58,141,28
28200,3,74.92,6,0,55,30,50,28
48129,3,59.7768,6,0,59,42,28,37
43770,7,59.9782,19,0,62,62,28,30
29155,4,59.92,5,0,57,28,28,25
41480,10,116.72,10,1,55,51,134,19
27260,6,52.53,1,1,60,20,171,22
11290,7,59.99,19,1,61,43,29,19
41210,7,58.24,7,1,59,39,28,31
11200,9,84.98,15,1,58,43,28,37
44200,1,84.7086,8,1,63,51,28,30
41570,7,84.813,3,0,56,50,28,31
41190,11,59.76,12,1,55,33,95,26
41370,7,49.95,14,0,57,39,145,30
30110,6,30.4816,4,0,56,39,28,34
42210,9,54.58,8,0,62,34,17,28
26290,10,84.98,23,1,55,41,140,30
41173,8,73.7977,5,1,55,43,193,28
41117,4,49.68,13,0,56,28,53,28
11410,12,59.96,11,1,57,39,28,30
48310,6,84.9511,18,0,60,55,28,26
46150,12,56.4,6,0,55,41,28,33
41220,4,84.9758,8,1,62,61,28,36
11560,9,80.92,1,1,55,30,28,37
42210,5,59.9027,20,0,59,59,165,28
48310,6,73.65,2,0,60,25,28,37
11590,10,12.7071,4,0,62,52,94,29
44131,7,84.91,7,0,60,48,28,19
28237,8,59.2488,9,0,55,45,89,28
11680,3,28.3132,5,1,62,53,28,33
26410,9,157.7983,24,1,56,50,20,19
48310,3,74.99,13,0,57,57,28,19
28200,8,49.72,8,0,60,34,50,22
41220,7,44.1,2,0,62,27,28,19
41480,9,59.99,9,0,60,41,28,37
41190,9,52.58,1,0,59,24,28,28
27230,10,84.9989,3,1,62,53,28,26
45140,3,39.952,4,0,58,38,28,26
28185,11,68.96,20,1,59,57,103,28
44133,7,39.3,1,0,57,28,28,31
47900,10,84.89,7,0,60,45,28,37
31140,2,84.76,2,0,55,28,115,30
26500,3,76.67,2,1,59,17,28,28
41220,5,75.52,18,1,62,57,28,36
26230,5,79.93,9,0,56,20,28,28
11215,6,154.15,9,1,57,44,28,19
43114,2,59.9853,10,0,58,56,28,30
28200,7,59.9945,2,0,57,48,28,28
26320,3,59.98,4,1,63,59,28,19
26380,8,61.29,4,0,56,18,28,28
41550,9,59.854,13,0,59,47,28,22
30140,11,84.9979,8,1,56,53,28,22
28237,11,73.96,2,0,59,29,84,30
26230,8,84.5,3,0,62,32,5,28
41360,3,59.79,1,0,55,31,128,26
41480,1,84.992,13,1,58,44,119,31
26290,2,59.99,10,0,58,40,40,22
42170,2,59.8993,6,0,59,58,28,37
47113,4,59.96,3,0,59,34,28,19
28110,7,72.73,11,0,62,20,28,24
11545,7,129.66,8,1,61,31,28,37
31710,9,73.8,2,0,56,38,28,37
46130,3,59.85,8,0,57,43,28,33
41570,1,84.97,13,1,61,50,28,30
11350,9,49.77,4,1,58,38,146,33
41287,11,59.31,10,1,56,35,153,37
48123,10,84.91,2,0,59,34,93,28
26530,11,84.99,11,0,58,33,28,28
28140,8,84.961,4,0,55,41,28,30
42170,7,39.3,1,0,58,29,28,26
41135,9,84.97,2,1,56,35,163,31
41360,6,84.9272,4,1,60,45,187,36
41117,9,84.8974,7,1,60,48,53,25
11230,11,18.92,3,0,62,55,38,33
30170,10,72.9,12,0,59,26,28,19
45113,11,84.797,1,1,62,52,28,37
45113,12,74.98,11,1,59,53,28,30
27290,5,84.2245,6,1,60,56,28,22
31200,3,49.5,6,0,62,38,177,30
41550,9,59.67,15,0,58,39,28,35
30170,3,43.344,14,0,57,40,28,37
30140,5,120.66,15,0,57,28,28,28
41430,2,84.9404,10,1,63,59,28,30
41190,6,58.05,2,0,55,24,102,19
41117,12,73.79,10,1,62,37,127,28
42110,6,59.76,9,0,56,34,185,37
29140,11,140.8571,3,1,55,46,27,34
27260,8,40.58,3,0,60,31,173,31
41190,4,84.8,10,1,63,57,28,30
42130,5,39.6,1,0,62,34,28,22
36110,3,59.9917,4,1,60,55,9,19
41173,5,39.6,3,0,58,33,14,19
42130,2,42.96,5,0,60,33,153,30
28185,11,101.617,15,1,59,45,103,30
11215,6,59.99,19,1,57,46,154,30
41590,8,84.93,5,1,60,41,65,28
48330,4,49.06,7,0,57,29,28,37
41410,8,59.98,2,0,59,37,85,37
45111,4,59.955,11,0,62,38,98,31
27260,2,157.06,1,1,57,46,28,34
29155,4,84.82,23,1,59,49,28,26
48240,2,84.9473,5,0,59,47,28,30
28185,4,52.14,14,0,55,34,45,22
11650,3,101.91,8,1,55,20,28,28
48330,12,84.99,9,1,60,47,59,30
11350,11,72.17,13,1,59,29,28,25
41550,4,39.75,7,0,60,40,28,31
29200,1,84.9423,22,1,63,48,28,30
26290,9,84.92,9,1,58,53,40,22
41410,7,49.69,8,0,57,35,85,25
41113,1,59.96,8,0,59,37,28,35
41250,4,50.3,10,0,56,44,175,22
11305,5,49.94,15,1,58,31,28,31
41465,11,106.52,3,1,59,42,97,28
28237,8,59.9886,8,0,56,46,28,25
41390,4,142.6106,8,1,60,48,28,30
11590,5,66.69,6,1,57,28,28,30
45113,5,84.9839,10,1,62,57,105,30
41281,12,49.95,16,0,57,36,199,22
27290,4,84.48,22,1,56,47,96,28
41480,5,71.28,10,0,62,32,28,37
45140,10,59.904,15,0,56,52,28,30
42110,2,80.6164,1,0,56,44,200,33
41135,1,58.14,2,1,60,35,28,25
26350,6,59.794,13,0,55,35,64,26
41210,6,60.21,15,1,58,26,178,31
29155,12,84.63,4,0,57,31,28,22
44133,4,84.9988,7,1,60,58,28,33
45140,1,39.952,5,0,59,38,28,26
47113,2,59.3,3,0,55,24,28,22
42150,7,59.74,14,0,57,42,17,19
42150,3,59.89,2,0,62,39,17,19
48123,4,79.69,1,1,55,32,28,28
30170,8,59.9,3,0,56,35,28,19
43150,7,84.9846,13,0,57,48,28,31
41590,3,101.4,11,1,58,55,179,22
29155,5,84.64,7,1,59,47,28,28
47113,11,84.8944,2,0,60,48,122,36
48330,1,59.54,22,0,59,37,28,28
50110,8,84.78,13,1,60,44,28,28
31140,6,84.99,17,1,56,37,89,28
48123,4,47.97,20,0,62,32,39,28
11530,4,84.96,10,1,63,41,28,28
29200,4,84.7886,1,0,59,45,28,28
47290,10,59.96,2,0,59,35,28,30
26380,10,59.9942,6,0,55,45,158,22
47210,7,84.6661,9,1,59,51,28,19
47190,12,45.8895,9,0,62,41,28,26
31110,9,59.93,17,0,56,39,28,22
41173,3,116.507,7,1,60,43,193,22
41590,1,84.927,8,1,61,47,65,26
28237,7,48.48,1,0,55,28,75,22
41463,4,84.98,7,1,63,48,28,37
11740,8,102.34,15,1,58,48,28,24
44200,12,84.65,10,1,59,49,28,30
30170,6,49.59,22,0,56,37,15,30
41173,12,59.94,7,1,62,33,188,33
28260,8,84.9,14,0,55,39,49,22
11290,4,84.96,4,1,56,40,28,19
41650,10,59.4,4,0,59,33,28,30
28237,4,84.34,21,1,58,38,28,33
43114,7,84.98,4,0,62,29,28,28
28200,4,84.93,11,1,60,40,50,26
45113,2,84.9525,12,1,60,58,28,19
41287,1,84.786,21,1,60,35,153,37
48310,10,59.31,2,0,60,38,12,22
30140,12,89.95,5,0,55,18,28,19
41150,2,84.9964,13,0,60,41,139,28
42210,1,51.66,12,0,58,33,17,31
11740,12,84.91,19,1,57,36,28,30
31710,12,84.7195,11,1,55,50,28,28
27290,10,69.9551,21,1,56,56,28,30
11470,10,142.51,3,1,56,26,56,25
41630,7,84.99,4,0,55,47,41,37
41370,1,59.867,10,0,60,40,145,22
41210,7,45.77,2,0,58,30,191,31
28200,9,85.44,5,0,58,20,22,28
31710,7,118.63,14,1,60,54,28,25
11290,4,84.39,9,1,55,31,28,22
44200,3,59.8,4,0,63,38,28,30
41590,2,76.5336,23,1,60,48,34,36
41287,6,70.558,3,1,57,40,182,35
41273,11,59.97,2,1,56,42,181,19
41480,5,118.7267,19,1,59,52,119,37
26350,9,59.985,9,1,55,37,166,34
43113,9,60,7,0,59,39,72,37
48330,12,59.9914,21,1,62,57,58,30
43112,5,59.76,1,0,62,35,28,22
43114,8,84.9673,10,0,56,46,28,30
42750,3,46.98,4,0,58,32,28,31
43114,4,32.76,11,0,55,36,148,22
11740,11,102.34,29,1,59,48,28,24
11230,4,84.774,16,1,55,43,160,24
45140,6,84.94,1,0,60,32,126,28
28177,7,15.6,6,0,55,55,167,22
42110,5,84.933,11,0,57,39,185,35
42130,4,57.84,4,0,63,32,28,22
11500,4,89.975,14,1,56,35,28,22
41465,3,105.548,6,1,58,52,101,28
11470,7,149.28,16,1,56,40,56,26
47150,9,59.64,15,0,62,39,28,22
31110,1,84.9634,14,1,57,55,28,4
44200,3,39.78,8,0,58,40,28,31
41220,10,59.9605,8,0,57,51,28,26
41590,1,59.92,17,0,58,44,71,30
28177,8,90.78,3,0,58,24,28,31
41281,12,59.04,12,0,59,35,192,28
41360,4,61.88,8,0,55,31,28,37
48123,6,34.473,2,0,60,21,28,28
48250,11,84.7721,3,1,60,57,28,19
36110,10,84.6641,6,0,55,48,28,31
28237,11,84.98,18,1,62,50,75,26
28177,8,65.143,4,0,57,24,167,22
11560,2,59.95,7,1,63,57,109,24
41135,11,58.71,6,1,59,35,163,37
