지역코드,월,전용면적,층,거래금액,거래금액1,연도1,건축년도1,법정동2,아파트2
11590,9,84.66,11,60000,11.002116507732016,56,33,81,28
11590,10,72.0,2,35700,10.482933978579906,61,33,94,28
48123,1,56.97,4,23600,10.069044362997351,55,29,28,22
41480,9,100.625,20,41000,10.62135173563291,55,49,119,37
26350,1,84.9593,12,36000,10.491301994830229,60,59,64,37
45710,9,33.15,2,3300,8.101980731853192,60,37,28,22
47111,8,121.7703,16,33000,10.404293143019792,59,47,28,37
42150,3,84.99,10,14500,9.581972891547895,60,38,28,21
48310,5,84.63,12,29300,10.285376924115589,60,56,28,30
41220,6,84.772,2,31000,10.34177474101152,60,59,28,36
41131,8,61.52,9,49400,10.807725945886109,57,26,28,31
41480,8,51.412,22,16000,9.680406499268877,57,41,28,36
41570,3,84.7624,10,44500,10.703266939811954,58,54,144,37
41465,8,134.387,18,73000,11.19822841866684,59,41,101,28
31110,11,84.6036,6,32000,10.373522431293592,62,56,28,21
26350,4,56.345,15,28200,10.247112717290388,59,36,166,37
48220,6,84.9931,15,26268,10.176144815719798,60,58,28,35
41190,8,37.67,5,18300,9.814710982145282,58,35,171,31
27170,5,27.84,5,6300,8.748463629942055,60,51,28,37
11290,5,114.88,11,56000,10.933124826700707,55,45,29,19
41360,12,84.97,23,75000,11.225256725762891,59,57,36,22
48121,9,70.1076,3,23500,10.064798252418376,60,57,28,19
41173,12,37.85,2,22300,10.012386799492118,55,32,188,33
42720,3,44.94,4,3500,8.160803920954665,57,30,28,28
27200,7,84.99,2,21250,9.964159232,57,31,28,22
45113,6,59.8796,10,17550,9.772866207,58,55,65,30
41590,3,84.94,10,36200,10.49684202174171,57,47,63,21
41111,11,134.958,7,43000,10.66897865021924,55,39,28,37
41113,12,84.93,10,21000,9.952325334619427,59,38,28,22
41590,11,84.99,7,32550,10.39056336913101,60,41,65,28
31140,7,84.8612,15,37500,10.53212287826962,55,44,89,22
41150,10,84.9823,13,33500,10.41933057,58,45,194,29
41210,8,84.99,17,79000,11.277215789596893,60,51,28,19
50110,9,84.97,3,32500,10.389026137075234,55,44,28,19
28200,10,83.7769,7,33900,10.431199791458544,56,47,22,24
41360,4,61.88,8,12700,9.44943601,55,31,28,37
44133,11,20.9491,6,8042,8.992557427,55,54,28,30
41281,1,84.8,8,27900,10.236417809461043,60,43,28,31
31140,11,59.64,20,25500,10.146472946063875,57,35,120,22
26530,4,84.97,23,23800,10.077482875583607,56,41,28,22
42150,3,59.8,1,8000,8.987321812850125,56,29,28,19
43111,6,84.9767,11,17800,9.787009914477434,58,42,28,31
26260,11,57.24,3,18100,9.803722464346553,56,25,28,33
44200,6,39.27,13,5700,8.648396877031582,57,37,28,33
30200,4,119.77,13,69000,11.14187628,58,51,28,35
41360,10,84.9301,23,65000,11.082157933374816,59,58,36,22
11305,12,84.67,9,75000,11.225256725762891,59,59,60,20
41271,10,38.88,4,16400,9.705097588,59,29,28,30
41465,10,157.115,19,74020,11.212104115711089,55,50,101,26
42130,7,101.9833,4,32000,10.373522431293592,60,57,28,26
41220,1,84.86,8,28000,10.239995502805316,59,57,28,4
41220,6,39.11,7,10500,9.259225769705994,57,37,28,33
44200,10,84.99,5,10000,9.210440366976515,55,34,28,30
29170,3,57.56,2,6100,8.716207971151853,57,21,28,31
43112,3,105.773,10,36800,10.51328029770086,60,47,28,19
26380,6,93.99,11,14000,9.546884034617923,55,34,158,28
45710,10,69.8455,2,12000,9.392745259,57,52,28,25
29170,4,59.95,17,9100,9.116139576577355,55,36,28,28
47210,4,59.76,20,8700,9.071193240566023,58,38,28,21
41570,6,84.9394,8,40000,10.59665973278358,59,46,11,19
41281,3,50.0,12,20500,9.928228944424577,55,35,199,26
11350,3,27.0,2,28000,10.239995502805316,63,28,28,37
29200,1,59.83,3,11500,9.350189267,55,37,146,30
45800,10,59.925,8,7700,8.94910547,60,37,28,22
30200,11,84.783,6,31800,10.367253014814716,58,54,174,22
50110,2,76.43,2,27500,10.221977646629885,60,35,28,30
45113,8,59.88,18,6300,8.748463629942055,60,37,65,21
47190,2,59.85,11,7900,8.974744612722734,63,35,80,31
31710,4,84.9941,5,38000,10.545367754151744,62,57,28,30
41117,8,84.94,12,48900,10.797553125151618,59,53,28,24
44270,6,76.0261,11,26400,10.181157167204905,57,56,28,37
41281,2,104.01,14,46800,10.753659849198824,60,45,192,14
45130,11,55.48,4,2400,7.783640596221253,59,19,30,30
41281,4,59.886,1,16600,9.717218213494077,57,38,28,28
41463,6,59.958,10,47300,10.764286715905593,62,58,28,30
41271,4,49.77,2,24000,10.085850775128716,63,34,28,31
27230,4,51.95,7,15700,9.661479684,62,42,28,19
26380,10,79.92,6,15000,9.615872145,55,30,158,31
28260,2,84.0741,6,37800,10.540090836284206,60,57,28,30
47150,5,49.5,5,8900,9.093918908958932,56,39,28,22
11440,1,32.34,12,26500,10.184937747111393,63,44,28,28
11740,5,84.23,4,50000,10.819798284210286,57,32,28,31
11320,1,51.91,1,20500,9.928228944424577,58,32,28,30
43114,12,84.9673,13,22200,10.007892611890918,56,46,28,30
43130,4,27.18,13,3300,8.101980731853192,55,35,28,26
41410,4,84.97,31,61800,11.03167482454464,58,50,85,24
41117,8,84.9688,21,31400,10.354595018522993,56,41,51,22
11620,7,59.5,12,32500,10.389026137075234,59,35,111,31
41273,6,116.843,10,42500,10.65728288404746,60,41,10,26
27230,1,59.95,15,22800,10.034559673629849,60,55,28,26
47170,2,37.67,14,7230,8.886132618174951,57,36,131,30
41310,9,134.96,14,93800,11.4489308,60,34,28,19
11110,3,16.67,5,12500,9.433563920090563,55,52,28,28
44210,1,84.936,9,22500,10.021315031649332,56,40,150,28
43114,6,30.6,6,6000,8.699681400989514,58,35,148,28
48330,5,93.851,7,35800,10.485731104959568,60,54,59,26
41113,7,60.0,2,22500,10.021315031649332,59,36,23,37
31110,3,67.05,2,7300,8.895766604056085,59,33,28,30
41550,3,39.36,12,11300,9.332646496360152,63,42,28,31
11680,8,78.05,7,145000,11.884495917930655,56,17,28,37
27260,6,84.97,12,38500,10.55843949396453,62,31,173,37
41310,10,49.67,11,27500,10.221977646629885,56,36,151,31
30170,9,84.9967,6,29600,10.295563423525277,55,50,28,30
11740,3,55.8,5,51900,10.857093336791094,55,23,28,31
45800,3,49.62,15,8100,8.999742789830492,58,38,28,26
47190,1,84.8543,10,24000,10.085850775128716,63,57,28,19
30200,8,84.97,3,33500,10.41933057,62,46,28,29
45111,7,138.78,12,22400,10.016860879703811,60,38,91,33
