전용면적,층,연도1,건축년도1,지역코드_2자리_11,지역코드_2자리_26,지역코드_2자리_27,지역코드_2자리_28,지역코드_2자리_41,지역코드_2자리_43,지역코드_2자리_44,지역코드_2자리_45,지역코드_2자리_46,지역코드_2자리_47,법정동1_기타동,거래금액1
84.66,11,56,33,1,0,0,0,0,0,0,0,0,0,0,11.002116507732016
72.0,2,61,33,1,0,0,0,0,0,0,0,0,0,0,10.482933978579906
56.97,4,55,29,0,0,0,0,0,0,0,0,0,0,1,10.069044362997351
100.625,20,55,49,0,0,0,0,1,0,0,0,0,0,0,10.62135173563291
84.9593,12,60,59,0,1,0,0,0,0,0,0,0,0,0,10.491301994830229
33.15,2,60,37,0,0,0,0,0,0,0,1,0,0,1,8.101980731853192
121.7703,16,59,47,0,0,0,0,0,0,0,0,0,1,1,10.404293143019792
84.99,10,60,38,0,0,0,0,0,0,0,0,0,0,1,9.581972891547895
84.63,12,60,56,0,0,0,0,0,0,0,0,0,0,1,10.285376924115589
84.772,2,60,59,0,0,0,0,1,0,0,0,0,0,1,10.34177474101152
61.52,9,57,26,0,0,0,0,1,0,0,0,0,0,1,10.807725945886109
51.412,22,57,41,0,0,0,0,1,0,0,0,0,0,1,9.680406499268877
84.7624,10,58,54,0,0,0,0,1,0,0,0,0,0,0,10.703266939811954
134.387,18,59,41,0,0,0,0,1,0,0,0,0,0,0,11.19822841866684
84.6036,6,62,56,0,0,0,0,0,0,0,0,0,0,1,10.373522431293592
56.345,15,59,36,0,1,0,0,0,0,0,0,0,0,0,10.247112717290388
84.9931,15,60,58,0,0,0,0,0,0,0,0,0,0,1,10.176144815719798
37.67,5,58,35,0,0,0,0,1,0,0,0,0,0,0,9.814710982145282
27.84,5,60,51,0,0,1,0,0,0,0,0,0,0,1,8.748463629942055
114.88,11,55,45,1,0,0,0,0,0,0,0,0,0,0,10.933124826700707
84.97,23,59,57,0,0,0,0,1,0,0,0,0,0,0,11.225256725762891
70.1076,3,60,57,0,0,0,0,0,0,0,0,0,0,1,10.064798252418376
37.85,2,55,32,0,0,0,0,1,0,0,0,0,0,0,10.012386799492118
44.94,4,57,30,0,0,0,0,0,0,0,0,0,0,1,8.160803920954665
84.99,2,57,31,0,0,1,0,0,0,0,0,0,0,1,9.964159232
59.8796,10,58,55,0,0,0,0,0,0,0,1,0,0,0,9.772866207
84.94,10,57,47,0,0,0,0,1,0,0,0,0,0,0,10.49684202174171
134.958,7,55,39,0,0,0,0,1,0,0,0,0,0,1,10.66897865021924
84.93,10,59,38,0,0,0,0,1,0,0,0,0,0,1,9.952325334619427
84.99,7,60,41,0,0,0,0,1,0,0,0,0,0,0,10.39056336913101
84.8612,15,55,44,0,0,0,0,0,0,0,0,0,0,0,10.53212287826962
84.9823,13,58,45,0,0,0,0,1,0,0,0,0,0,0,10.41933057
84.99,17,60,51,0,0,0,0,1,0,0,0,0,0,1,11.277215789596893
84.97,3,55,44,0,0,0,0,0,0,0,0,0,0,1,10.389026137075234
83.7769,7,56,47,0,0,0,1,0,0,0,0,0,0,0,10.431199791458544
61.88,8,55,31,0,0,0,0,1,0,0,0,0,0,1,9.44943601
20.9491,6,55,54,0,0,0,0,0,0,1,0,0,0,1,8.992557427
84.8,8,60,43,0,0,0,0,1,0,0,0,0,0,1,10.236417809461043
59.64,20,57,35,0,0,0,0,0,0,0,0,0,0,0,10.146472946063875
84.97,23,56,41,0,1,0,0,0,0,0,0,0,0,1,10.077482875583607
59.8,1,56,29,0,0,0,0,0,0,0,0,0,0,1,8.987321812850125
84.9767,11,58,42,0,0,0,0,0,1,0,0,0,0,1,9.787009914477434
57.24,3,56,25,0,1,0,0,0,0,0,0,0,0,1,9.803722464346553
39.27,13,57,37,0,0,0,0,0,0,1,0,0,0,1,8.648396877031582
119.77,13,58,51,0,0,0,0,0,0,0,0,0,0,1,11.14187628
84.9301,23,59,58,0,0,0,0,1,0,0,0,0,0,0,11.082157933374816
84.67,9,59,59,1,0,0,0,0,0,0,0,0,0,0,11.225256725762891
38.88,4,59,29,0,0,0,0,1,0,0,0,0,0,1,9.705097588
157.115,19,55,50,0,0,0,0,1,0,0,0,0,0,0,11.212104115711089
101.9833,4,60,57,0,0,0,0,0,0,0,0,0,0,1,10.373522431293592
84.86,8,59,57,0,0,0,0,1,0,0,0,0,0,1,10.239995502805316
39.11,7,57,37,0,0,0,0,1,0,0,0,0,0,1,9.259225769705994
84.99,5,55,34,0,0,0,0,0,0,1,0,0,0,1,9.210440366976515
57.56,2,57,21,0,0,0,0,0,0,0,0,0,0,1,8.716207971151853
105.773,10,60,47,0,0,0,0,0,1,0,0,0,0,1,10.51328029770086
93.99,11,55,34,0,1,0,0,0,0,0,0,0,0,0,9.546884034617923
69.8455,2,57,52,0,0,0,0,0,0,0,1,0,0,1,9.392745259
59.95,17,55,36,0,0,0,0,0,0,0,0,0,0,1,9.116139576577355
59.76,20,58,38,0,0,0,0,0,0,0,0,0,1,1,9.071193240566023
84.9394,8,59,46,0,0,0,0,1,0,0,0,0,0,0,10.59665973278358
50.0,12,55,35,0,0,0,0,1,0,0,0,0,0,0,9.928228944424577
27.0,2,63,28,1,0,0,0,0,0,0,0,0,0,1,10.239995502805316
59.83,3,55,37,0,0,0,0,0,0,0,0,0,0,0,9.350189267
59.925,8,60,37,0,0,0,0,0,0,0,1,0,0,1,8.94910547
84.783,6,58,54,0,0,0,0,0,0,0,0,0,0,0,10.367253014814716
76.43,2,60,35,0,0,0,0,0,0,0,0,0,0,1,10.221977646629885
59.88,18,60,37,0,0,0,0,0,0,0,1,0,0,0,8.748463629942055
59.85,11,63,35,0,0,0,0,0,0,0,0,0,1,0,8.974744612722734
84.9941,5,62,57,0,0,0,0,0,0,0,0,0,0,1,10.545367754151744
84.94,12,59,53,0,0,0,0,1,0,0,0,0,0,1,10.797553125151618
76.0261,11,57,56,0,0,0,0,0,0,1,0,0,0,1,10.181157167204905
104.01,14,60,45,0,0,0,0,1,0,0,0,0,0,0,10.753659849198824
55.48,4,59,19,0,0,0,0,0,0,0,1,0,0,0,7.783640596221253
59.886,1,57,38,0,0,0,0,1,0,0,0,0,0,1,9.717218213494077
59.958,10,62,58,0,0,0,0,1,0,0,0,0,0,1,10.764286715905593
49.77,2,63,34,0,0,0,0,1,0,0,0,0,0,1,10.085850775128716
51.95,7,62,42,0,0,1,0,0,0,0,0,0,0,1,9.661479684
79.92,6,55,30,0,1,0,0,0,0,0,0,0,0,0,9.615872145
84.0741,6,60,57,0,0,0,1,0,0,0,0,0,0,1,10.540090836284206
49.5,5,56,39,0,0,0,0,0,0,0,0,0,1,1,9.093918908958932
32.34,12,63,44,1,0,0,0,0,0,0,0,0,0,1,10.184937747111393
84.23,4,57,32,1,0,0,0,0,0,0,0,0,0,1,10.819798284210286
51.91,1,58,32,1,0,0,0,0,0,0,0,0,0,1,9.928228944424577
84.9673,13,56,46,0,0,0,0,0,1,0,0,0,0,1,10.007892611890918
27.18,13,55,35,0,0,0,0,0,1,0,0,0,0,1,8.101980731853192
84.97,31,58,50,0,0,0,0,1,0,0,0,0,0,0,11.03167482454464
84.9688,21,56,41,0,0,0,0,1,0,0,0,0,0,0,10.354595018522993
59.5,12,59,35,1,0,0,0,0,0,0,0,0,0,0,10.389026137075234
116.843,10,60,41,0,0,0,0,1,0,0,0,0,0,0,10.65728288404746
59.95,15,60,55,0,0,1,0,0,0,0,0,0,0,1,10.034559673629849
37.67,14,57,36,0,0,0,0,0,0,0,0,0,1,0,8.886132618174951
134.96,14,60,34,0,0,0,0,1,0,0,0,0,0,1,11.4489308
16.67,5,55,52,1,0,0,0,0,0,0,0,0,0,1,9.433563920090563
84.936,9,56,40,0,0,0,0,0,0,1,0,0,0,0,10.021315031649332
30.6,6,58,35,0,0,0,0,0,1,0,0,0,0,0,8.699681400989514
93.851,7,60,54,0,0,0,0,0,0,0,0,0,0,0,10.485731104959568
60.0,2,59,36,0,0,0,0,1,0,0,0,0,0,0,10.021315031649332
67.05,2,59,33,0,0,0,0,0,0,0,0,0,0,1,8.895766604056085
39.36,12,63,42,0,0,0,0,1,0,0,0,0,0,1,9.332646496360152
78.05,7,56,17,1,0,0,0,0,0,0,0,0,0,1,11.884495917930655
84.97,12,62,31,0,0,1,0,0,0,0,0,0,0,0,10.55843949396453
49.67,11,56,36,0,0,0,0,1,0,0,0,0,0,0,10.221977646629885
84.9967,6,55,50,0,0,0,0,0,0,0,0,0,0,1,10.295563423525277
